CodeCommune;Code Région;Code Département;Commune;Région;Département;CodePostale;CodePostaleCorrigé;CodePostaleCorrigé;test
1001;84;1;ABERGEMENT CLEMENCIAT;AUVERGNE RHONE ALPES;AIN;1400;1400;1400;'01400
1002;84;1;ABERGEMENT DE VAREY;AUVERGNE RHONE ALPES;AIN;1640;1640;1640;'01640
1004;84;1;AMBERIEU EN BUGEY;AUVERGNE RHONE ALPES;AIN;1500;1500;1500;'01500
1005;84;1;AMBERIEUX EN DOMBES;AUVERGNE RHONE ALPES;AIN;1330;1330;1330;'01330
1006;84;1;AMBLEON;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1007;84;1;AMBRONAY;AUVERGNE RHONE ALPES;AIN;1500;1500;1500;'01500
1008;84;1;AMBUTRIX;AUVERGNE RHONE ALPES;AIN;1500;1500;1500;'01500
1009;84;1;ANDERT ET CONDON;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1010;84;1;ANGLEFORT;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1011;84;1;APREMONT;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1012;84;1;ARANC;AUVERGNE RHONE ALPES;AIN;1110;1110;1110;'01110
1013;84;1;ARANDAS;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1014;84;1;ARBENT;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1015;84;1;ARBOYS EN BUGEY;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1015;;;ARBIGNIEU;#N/A;#N/A;1300;1300;1300;'01300
1016;84;1;ARBIGNY;AUVERGNE RHONE ALPES;AIN;1190;1190;1190;'01190
1017;84;1;ARGIS;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1019;84;1;ARMIX;AUVERGNE RHONE ALPES;AIN;1510;1510;1510;'01510
1021;84;1;ARS SUR FORMANS;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1022;84;1;ARTEMARE;AUVERGNE RHONE ALPES;AIN;1510;1510;1510;'01510
1023;84;1;ASNIERES SUR SAONE;AUVERGNE RHONE ALPES;AIN;1570;1570;1570;'01570
1024;84;1;ATTIGNAT;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1025;84;1;BAGE DOMMARTIN;AUVERGNE RHONE ALPES;AIN;1380;1380;1380;'01380
1025;;;BAGE LA VILLE;#N/A;#N/A;1380;1380;1380;'01380
1026;84;1;BAGE LE CHATEL;AUVERGNE RHONE ALPES;AIN;1380;1380;1380;'01380
1027;84;1;BALAN;AUVERGNE RHONE ALPES;AIN;1360;1360;1360;'01360
1028;84;1;BANEINS;AUVERGNE RHONE ALPES;AIN;1990;1990;1990;'01990
1029;84;1;BEAUPONT;AUVERGNE RHONE ALPES;AIN;1270;1270;1270;'01270
1030;84;1;BEAUREGARD;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1031;84;1;BELLIGNAT;AUVERGNE RHONE ALPES;AIN;1100;1100;1100;'01100
1032;84;1;BELIGNEUX;AUVERGNE RHONE ALPES;AIN;1360;1360;1360;'01360
1033;84;1;VALSERHONE;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1033;;;BELLEGARDE SUR VALSERINE;#N/A;#N/A;1200;1200;1200;'01200
1034;84;1;BELLEY;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1035;84;1;BELLEYDOUX;AUVERGNE RHONE ALPES;AIN;1130;1130;1130;'01130
1036;84;1;VALROMEY SUR SERAN;AUVERGNE RHONE ALPES;AIN;1260;1260;1260;'01260
1036;;;BELMONT LUTHEZIEU;#N/A;#N/A;1260;1260;1260;'01260
1037;84;1;BENONCES;AUVERGNE RHONE ALPES;AIN;1470;1470;1470;'01470
1038;84;1;BENY;AUVERGNE RHONE ALPES;AIN;1370;1370;1370;'01370
1039;84;1;BEON;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1040;84;1;BEREZIAT;AUVERGNE RHONE ALPES;AIN;1340;1340;1340;'01340
1041;84;1;BETTANT;AUVERGNE RHONE ALPES;AIN;1500;1500;1500;'01500
1042;84;1;BEY;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1043;84;1;BEYNOST;AUVERGNE RHONE ALPES;AIN;1700;1700;1700;'01700
1044;84;1;BILLIAT;AUVERGNE RHONE ALPES;AIN;1200;1200;1200;'01200
1045;84;1;BIRIEUX;AUVERGNE RHONE ALPES;AIN;1330;1330;1330;'01330
1046;84;1;BIZIAT;AUVERGNE RHONE ALPES;AIN;1290;1290;1290;'01290
1047;84;1;BLYES;AUVERGNE RHONE ALPES;AIN;1150;1150;1150;'01150
1049;84;1;BOISSE;AUVERGNE RHONE ALPES;AIN;1120;1120;1120;'01120
1050;84;1;BOISSEY;AUVERGNE RHONE ALPES;AIN;1380;1380;1380;'01380
1051;84;1;BOLOZON;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1052;84;1;BOULIGNEUX;AUVERGNE RHONE ALPES;AIN;1330;1330;1330;'01330
1053;84;1;BOURG EN BRESSE;AUVERGNE RHONE ALPES;AIN;1000;1000;1000;'01000
1054;84;1;BOURG SAINT CHRISTOPHE;AUVERGNE RHONE ALPES;AIN;1800;1800;1800;'01800
1056;84;1;BOYEUX SAINT JEROME;AUVERGNE RHONE ALPES;AIN;1640;1640;1640;'01640
1057;84;1;BOZ;AUVERGNE RHONE ALPES;AIN;1190;1190;1190;'01190
1058;84;1;BREGNIER CORDON;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1059;;;BRENAZ;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
1060;84;1;BRENOD;AUVERGNE RHONE ALPES;AIN;1110;1110;1110;'01110
1061;84;1;BRENS;AUVERGNE RHONE ALPES;AIN;1300;1300;1300;'01300
1062;84;1;BRESSOLLES;AUVERGNE RHONE ALPES;AIN;1360;1360;1360;'01360
1063;84;1;BRION;AUVERGNE RHONE ALPES;AIN;1460;1460;1460;'01460
1064;84;1;BRIORD;AUVERGNE RHONE ALPES;AIN;1470;1470;1470;'01470
1065;84;1;BUELLAS;AUVERGNE RHONE ALPES;AIN;1310;1310;1310;'01310
1066;84;1;BURBANCHE;AUVERGNE RHONE ALPES;AIN;1510;1510;1510;'01510
1067;84;1;CEIGNES;AUVERGNE RHONE ALPES;AIN;1430;1430;1430;'01430
1068;84;1;CERDON;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1069;84;1;CERTINES;AUVERGNE RHONE ALPES;AIN;1240;1240;1240;'01240
1071;84;1;CESSY;AUVERGNE RHONE ALPES;AIN;1170;1170;1170;'01170
1072;84;1;CEYZERIAT;AUVERGNE RHONE ALPES;AIN;1250;1250;1250;'01250
1073;84;1;CEYZERIEU;AUVERGNE RHONE ALPES;AIN;1350;1350;1350;'01350
1074;84;1;CHALAMONT;AUVERGNE RHONE ALPES;AIN;1320;1320;1320;'01320
1075;84;1;CHALEINS;AUVERGNE RHONE ALPES;AIN;1480;1480;1480;'01480
1076;84;1;CHALEY;AUVERGNE RHONE ALPES;AIN;1230;1230;1230;'01230
1077;84;1;CHALLES LA MONTAGNE;AUVERGNE RHONE ALPES;AIN;1450;1450;1450;'01450
1078;84;1;CHALLEX;AUVERGNE RHONE ALPES;AIN;1630;1630;1630;'01630
1079;84;1;CHAMPAGNE EN VALROMEY;AUVERGNE RHONE ALPES;AIN;1260;1260;1260;'01260
1080;84;1;CHAMPDOR CORCELLES;AUVERGNE RHONE ALPES;AIN;1110;1110;1110;'01110
1080;;;CHAMPDOR;#N/A;#N/A;1110;1110;1110;'01110
1081;84;1;CHAMPFROMIER;AUVERGNE RHONE ALPES;AIN;1410;1410;1410;'01410
